ts_ms,research_source_1_ang_mtm_3
1672156800000,-3.10709643
1672171200000,-2.38118482
1672185600000,-1.73828125
1672200000000,-1.77376306
1672214400000,-3.04752612
1672228800000,-2.76790357
1672243200000,-1.80371094
1672257600000,-0.875
1672272000000,-1.33333337
1672286400000,-1.23828125
1672300800000,0.291666657
1672315200000,2.01204419
1672329600000,2.96451831
1672344000000,3.39876294
1672358400000,1.99381506
1672372800000,0.00618489599
1672387200000,-0.0950520858
1672401600000,0.827473938
1672416000000,3.33300781
1672430400000,3.06510425
1672444800000,2.76204419
1672459200000,1.76822913
1672473600000,0.494140625
1672488000000,0.106770836
1672502400000,-1.66080725
1672516800000,-2.11295581
1672531200000,-1.91634119
1672545600000,-0.482096344
1672560000000,2.16666675
1672574400000,4.17838526
1672588800000,3.52929688
1672603200000,1.72037756
1672617600000,0.637044251
1672632000000,1.49414062
1672646400000,1.81542969
1672660800000,1.05957031
1672675200000,-0.392578125
1672689600000,-1.44042969
1672704000000,-0.0657552108
1672718400000,1.44010413
1672732800000,1.327474
1672747200000,-0.850911438
1672761600000,-1.88085938
1672776000000,0.607096374
1672790400000,3.46419263
1672804800000,2.86295581
1672819200000,-0.708333313
1672833600000,-3.36295581
1672848000000,-2.33919263
1672862400000,-1.10123694
1672876800000,-0.220377609
1672891200000,0.398763031
1672905600000,0.416666657
1672920000000,0.464518219
1672934400000,0.220377609
1672948800000,0.857096374
1672963200000,0.375
1672977600000,-3.60709643
1672992000000,-5.88118505
1673006400000,-2.97037768
1673020800000,2.19042969
1673035200000,4.27376318
1673049600000,1.47623694
1673064000000,-0.0950520858
1673078400000,0.387044281
1673092800000,0.737955749
1673107200000,0.428710938
1673121600000,-0.696289062
1673136000000,-0.523763001
1673150400000,0.195963547
1673164800000,1.66634119
1673179200000,2.45247388
1673193600000,3.05403638
1673208000000,2.9466145
1673222400000,1.49967444
1673236800000,0.755859375
1673251200000,0.744140625
1673265600000,2.07747388
1673280000000,0.767903626
1673294400000,-1.47005212
1673308800000,-2.19042969
1673323200000,-0.393229157
1673337600000,2.24967456
1673352000000,4.1429038
1673366400000,4.41699219
1673380800000,3.08365893
1673395200000,-0.678710938
1673409600000,-4.78613281
1673424000000,-6.97037745
1673438400000,-4.4163413
1673452800000,5.19661474
1673467200000,14.8808594
1673481600000,17.3154297
1673496000000,11.5716143
1673510400000,3.29752612
1673524800000,7.4820962
1673539200000,14.2858076
1673553600000,12.9345703
1673568000000,3.63085938
1673582400000,-3.41113281
1673596800000,4.02376318
1673611200000,10.9524736
1673625600000,19.7682285
1673640000000,32.5003242
1673654400000,31.7737637
1673668800000,11.4580078
1673683200000,-10.2145185
1673697600000,-13.6191406
1673712000000,-0.232096359
1673726400000,-5.49381495
1673740800000,-17.9342442
1673755200000,-20.1487637
1673769600000,-8.86360645
1673784000000,3.40462232
1673798400000,-2.54134107
1673812800000,-7.51757812
1673827200000,-13.6191406
1673841600000,-30.1611328
1673856000000,-40.6904297
1673870400000,-26.8092442
1673884800000,-0.732096374
1673899200000,9.42838573
1673913600000,-1.70865881
1673928000000,-3.53548169
1673942400000,2.33951831
1673956800000,6.02376318
1673971200000,1.327474
1673985600000,-3.75585938
1674000000000,-2.29752612
1674014400000,-2.91699219
1674028800000,-6.64322901
1674043200000,-10.0179033
1674057600000,-9.55338573
1674072000000,-11.2021484
1674086400000,-11.3033857
1674100800000,-6.20247412
1674115200000,2.73795581
1674129600000,6.65494776
1674144000000,6.41666651
1674158400000,3.63671875
1674172800000,-0.196614578
1674187200000,-2.73209643
1674201600000,-1.19628906
1674216000000,6.58333349
1674230400000,28.2620449
1674244800000,44.4345703
1674259200000,41.75
1674273600000,26.6191406
1674288000000,12.8987627
1674302400000,13.1663408
1674316800000,3.95214844
1674331200000,-9.20214844
1674345600000,-14.9521484
1674360000000,-11.0237627
1674374400000,-0.291666657
1674388800000,1.40462244
1674403200000,-2.41666675
1674417600000,-9.77962208
1674432000000,-28.3929043
1674446400000,-34.6907539
1674460800000,-25.6845703
1674475200000,-13.2734375
1674489600000,-7.16666651
1674504000000,-10.1191406
1674518400000,-0.464192718
1674532800000,7.27376318
1674547200000,5.73177099
1674561600000,2.38671875
1674576000000,-4.26757812
1674590400000,-5.16048193
1674604800000,-3.875
1674619200000,-1.24381506
1674633600000,0.922851562
1674648000000,-2.38118482
1674662400000,0.833007812
1674676800000,8.10709667
1674691200000,7.58951807
1674705600000,-1.08333337
1674720000000,-8.59537792
1674734400000,-3.86328125
1674748800000,3.23209643
1674763200000,0.101236977
1674777600000,1.48209631
1674792000000,6.22037745
1674806400000,8.2737627
1674820800000,7.91666651
1674835200000,4.42871094
1674849600000,3.67871094
1674864000000,-6.63671875
1674878400000,-15.833333
1674892800000,-11.2086592
1674907200000,-2.38704419
1674921600000,3.88704419
1674936000000,3.59537768
1674950400000,2.75585938
1674964800000,8.88671875
1674979200000,11.1904297
1674993600000,12.887044
1675008000000,10.6429033
1675022400000,1.69042969
1675036800000,-4.42838526
1675051200000,-14.416667
1675065600000,-13.1608076
1675080000000,-12.1966143
1675094400000,-10.7799482
1675108800000,-6.52962255
1675123200000,-2.99381518
1675137600000,0.0120442705
1675152000000,-0.160807297
1675166400000,-1.04785156
1675180800000,-3.51171875
1675195200000,-9.09505177
1675209600000,-13.012044
1675224000000,-7.42871094
1675238400000,-1.32128906
1675252800000,12.7737627
1675267200000,25.3092442
1675281600000,34.5654297
1675296000000,28.6728516
1675310400000,13.3990889
1675324800000,2.99414062
1675339200000,-2.404948
1675353600000,-7.44661474
1675368000000,-13.1191406
1675382400000,-13.416667
1675396800000,-7.32747412
1675411200000,1.97623694
1675425600000,0.6015625
1675440000000,-0.535481751
1675454400000,-6.27994776
1675468800000,-14.4049482
1675483200000,-19.0478516
1675497600000,-15.5654297
1675512000000,-3.98209643
1675526400000,-0.172526047
1675540800000,-1.69042969
1675555200000,1.96419275
1675569600000,7.14876318
1675584000000,5.61295557
1675598400000,-4.59505224
1675612800000,-11.7975264
1675627200000,-6.41666651
1675641600000,0.148763016
1675656000000,3.54785156
1675670400000,4.20247412
1675684800000,4.2734375
1675699200000,0.166341141
1675713600000,-5.8570962
1675728000000,-4.42220068
1675742400000,2.4466145
1675756800000,4.5
1675771200000,2.92252612
1675785600000,7.95214844
1675800000000,15.9938154
1675814400000,16.5533848
1675828800000,8.22037792
1675843200000,-2.82714844
1675857600000,-7.95800781
1675872000000,-7.65462255
1675886400000,-10.0237627
1675900800000,-6.8515625
1675915200000,-2.19075513
1675929600000,1.26204431
1675944000000,-7.51757812
1675958400000,-21.0712891
1675972800000,-22.5836582
1675987200000,-16.3274746
1676001600000,-9.55957031
1676016000000,-8.48795605
1676030400000,-4.31542969
1676044800000,2.61295581
1676059200000,7.82128906
1676073600000,5.81542969
1676088000000,6.26204443
1676102400000,7.85742188
1676116800000,5.88704443
1676131200000,3.77376294
1676145600000,9.01171875
1676160000000,20.3212891
1676174400000,21.7024746
1676188800000,13.0179033
1676203200000,6.68457031
1676217600000,4.15462255
1676232000000,0.946289062
1676246400000,-0.0712890625
1676260800000,-2.32128906
1676275200000,-3.73209643
1676289600000,-5.33333349
1676304000000,-2.30371094
1676318400000,3.19628906
1676332800000,1.55338538
1676347200000,-0.559244812
1676361600000,2.404948
1676376000000,7.90462255
1676390400000,7.8929038
1676404800000,0.779947937
1676419200000,-2.24414062
1676433600000,4.12467432
1676448000000,14.0179033
1676462400000,25.8811855
1676476800000,41.5774727
1676491200000,51.5296211
1676505600000,39.9345703
1676520000000,15.458333
1676534400000,4.32714844
1676548800000,5.52962255
1676563200000,-14.2141924
1676577600000,-37.5237617
1676592000000,-39.9941406
1676606400000,-16.916666
1676620800000,7.50618505
1676635200000,12.5777998
1676649600000,8.89290333
1676664000000,-7.3515625
1676678400000,-31.4348965
1676692800000,-46.7796211
1676707200000,-38.9163399
1676721600000,-17.0712891
1676736000000,-4.82161474
1676750400000,-6.01822901
1676764800000,9.43457031
1676779200000,27.970377
1676793600000,33.2740898
1676808000000,13.7854815
1676822400000,-12.3574219
1676836800000,-24.8271484
1676851200000,-25.9759121
1676865600000,-7.91666651
1676880000000,8.11262989
1676894400000,11.9404297
1676908800000,4.44075537
1676923200000,-2.22591138
1676937600000,-1.52994788
