ts_ms,sma_14
1643500800000,16.3090706
1643504400000,16.3149281
1643508000000,16.3168564
1643511600000,16.2999287
1643515200000,16.319643
1643518800000,16.4070721
1643522400000,16.502142
1643526000000,16.6052856
1643529600000,16.6971436
1643533200000,16.7814999
1643536800000,16.8591423
1643540400000,16.9484997
1643544000000,17.0359993
1643547600000,17.1268578
1643551200000,17.2112865
1643554800000,17.2784996
1643558400000,17.3299999
1643562000000,17.3981438
1643565600000,17.4487152
1643569200000,17.4215717
1643572800000,17.4086437
1643576400000,17.3924294
1643580000000,17.3819294
1643583600000,17.4017849
1643587200000,17.3451424
1643590800000,17.2760715
1643594400000,17.2369995
1643598000000,17.1944294
1643601600000,17.1517849
1643605200000,17.1223564
1643608800000,17.0904999
1643612400000,17.0636425
1643616000000,17.0452862
1643619600000,17.0606422
1643623200000,17.0536423
1643626800000,17.0294991
1643630400000,16.9828568
1643634000000,16.9272861
1643637600000,16.9530716
1643641200000,17.0084286
1643644800000,17.0422134
1643648400000,17.0650005
1643652000000,17.0870724
1643655600000,17.101429
1643659200000,17.1311436
1643662800000,17.1441422
1643666400000,17.1464996
1643670000000,17.1407852
1643673600000,17.1466427
1643677200000,17.1551437
1643680800000,17.1927147
1643684400000,17.2233562
1643688000000,17.239357
1643691600000,17.2304287
1643695200000,17.218214
1643698800000,17.234642
1643702400000,17.2775707
1643706000000,17.2847137
1643709600000,17.2956429
1643713200000,17.3033581
1643716800000,17.3156433
1643720400000,17.3279991
1643724000000,17.3157864
1643727600000,17.3166428
1643731200000,17.3180714
1643734800000,17.2985001
1643738400000,17.2780724
1643742000000,17.240572
1643745600000,17.2080002
1643749200000,17.1837139
1643752800000,17.1441422
1643756400000,17.1339283
1643760000000,17.1075706
1643763600000,17.081358
1643767200000,17.0639286
1643770800000,17.0429287
1643774400000,17.0430717
1643778000000,17.0494995
1643781600000,17.035429
1643785200000,17.0235004
1643788800000,17.0198574
1643792400000,17.0446434
1643796000000,17.0676422
1643799600000,17.0771427
1643803200000,17.0935707
1643806800000,17.0985718
1643810400000,17.0645008
1643814000000,17.0250721
1643817600000,16.9718571
1643821200000,16.9190712
1643824800000,16.8613567
1643828400000,16.8034286
1643832000000,16.7402134
1643835600000,16.6572151
1643839200000,16.5722141
1643842800000,16.4718571
1643846400000,16.3744278
1643850000000,16.258215
1643853600000,16.1466427
1643857200000,16.0462151
1643860800000,15.9899282
1643864400000,15.945714
1643868000000,15.902071
1643871600000,15.8675003
1643875200000,15.8345003
1643878800000,15.7593575
1643882400000,15.6966429
1643886000000,15.6820002
1643889600000,15.6661425
1643893200000,15.6572857
1643896800000,15.6420002
1643900400000,15.6673574
1643904000000,15.6798573
1643907600000,15.7002859
1643911200000,15.7253571
1643914800000,15.7308569
1643918400000,15.7362862
1643922000000,15.7623568
1643925600000,15.7802143
1643929200000,15.8444996
1643932800000,15.896143
1643936400000,15.9248571
1643940000000,15.9554281
1643943600000,15.985714
1643947200000,16.0185719
1643950800000,16.0453568
1643954400000,16.082571
1643958000000,16.1082134
1643961600000,16.1432858
1643965200000,16.1921425
1643968800000,16.245142
1643972400000,16.2613564
1643976000000,16.2852859
1643979600000,16.2729282
1643983200000,16.2871437
1643986800000,16.3365707
1643990400000,16.3985004
1643994000000,16.4681435
1643997600000,16.5314293
1644001200000,16.5865002
1644004800000,16.633215
1644008400000,16.694643
1644012000000,16.7459278
