ts_ms,sma_100
1628222400000,0.673009992
1628236800000,0.674965978
1628251200000,0.677096009
1628265600000,0.679278016
1628280000000,0.681288004
1628294400000,0.68336302
1628308800000,0.685288012
1628323200000,0.687569976
1628337600000,0.689915001
1628352000000,0.692312002
1628366400000,0.694691002
1628380800000,0.697149992
1628395200000,0.699479997
1628409600000,0.701520979
1628424000000,0.703476012
1628438400000,0.705313027
1628452800000,0.707123995
1628467200000,0.70905298
1628481600000,0.711170971
1628496000000,0.713542998
1628510400000,0.715640008
1628524800000,0.717724979
1628539200000,0.719806015
1628553600000,0.721799016
1628568000000,0.723930001
1628582400000,0.726055026
1628596800000,0.728218019
1628611200000,0.730570972
1628625600000,0.733009994
1628640000000,0.73576498
1628654400000,0.738753974
1628668800000,0.741627991
1628683200000,0.744935989
1628697600000,0.749024987
1628712000000,0.752605975
1628726400000,0.756236017
1628740800000,0.759832025
1628755200000,0.763011992
1628769600000,0.766274989
1628784000000,0.769747972
1628798400000,0.773140013
1628812800000,0.776655972
1628827200000,0.780650973
1628841600000,0.784569979
1628856000000,0.788241029
1628870400000,0.79202801
1628884800000,0.795661986
1628899200000,0.799233973
1628913600000,0.803900003
1628928000000,0.808339
1628942400000,0.813139975
1628956800000,0.818476021
1628971200000,0.824232996
1628985600000,0.830258012
1629000000000,0.835673988
1629014400000,0.841358006
1629028800000,0.846535981
1629043200000,0.851866007
1629057600000,0.857250988
1629072000000,0.86283797
1629086400000,0.868547976
1629100800000,0.874015987
1629115200000,0.878912985
1629129600000,0.883585989
1629144000000,0.887995005
1629158400000,0.892545998
1629172800000,0.896830022
1629187200000,0.901443005
1629201600000,0.905656993
1629216000000,0.909536004
1629230400000,0.912851989
1629244800000,0.91634798
1629259200000,0.919844985
1629273600000,0.923007011
1629288000000,0.927205026
1629302400000,0.931152999
1629316800000,0.934994996
1629331200000,0.938681006
1629345600000,0.942466021
1629360000000,0.946099997
1629374400000,0.950218976
1629388800000,0.954888999
1629403200000,0.960069001
1629417600000,0.965026975
1629432000000,0.970351994
1629446400000,0.975650012
1629460800000,0.981347978
1629475200000,0.986759007
1629489600000,0.992330015
1629504000000,0.997964025
1629518400000,1.00333595
1629532800000,1.00834095
1629547200000,1.01343703
1629561600000,1.01827896
1629576000000,1.02325106
1629590400000,1.02840197
1629604800000,1.03372598
1629619200000,1.03891695
1629633600000,1.04364896
1629648000000,1.04839206
1629662400000,1.05330098
1629676800000,1.05856097
1629691200000,1.06359398
1629705600000,1.06892204
1629720000000,1.073874
1629734400000,1.07855201
1629748800000,1.083413
1629763200000,1.08786702
1629777600000,1.09238505
1629792000000,1.09674597
1629806400000,1.10039997
1629820800000,1.10389495
1629835200000,1.10703397
1629849600000,1.11051595
1629864000000,1.11423504
1629878400000,1.11792696
1629892800000,1.12187302
1629907200000,1.12564003
1629921600000,1.12941003
1629936000000,1.132671
1629950400000,1.13569796
1629964800000,1.13861096
1629979200000,1.14128304
1629993600000,1.14409006
1630008000000,1.146626
1630022400000,1.14923406
1630036800000,1.15203702
1630051200000,1.154827
1630065600000,1.15774906
1630080000000,1.16036701
1630094400000,1.16334403
1630108800000,1.16614103
1630123200000,1.16839004
1630137600000,1.169258
1630152000000,1.170614
1630166400000,1.17178905
1630180800000,1.17310905
1630195200000,1.17454195
1630209600000,1.17649102
1630224000000,1.17818701
1630238400000,1.17984903
1630252800000,1.18147302
1630267200000,1.18246603
1630281600000,1.18353403
1630296000000,1.18479705
1630310400000,1.18590105
1630324800000,1.18629205
1630339200000,1.18684494
1630353600000,1.18607605
1630368000000,1.18578005
1630382400000,1.18499696
1630396800000,1.18406403
1630411200000,1.18306398
1630425600000,1.18197
1630440000000,1.18134201
1630454400000,1.18036306
1630468800000,1.17956305
1630483200000,1.17859399
1630497600000,1.17768395
1630512000000,1.176947
1630526400000,1.17638004
1630540800000,1.17600906
1630555200000,1.17610502
1630569600000,1.17682397
1630584000000,1.17746794
1630598400000,1.17797101
1630612800000,1.17875099
1630627200000,1.17942297
1630641600000,1.18036997
1630656000000,1.18153799
1630670400000,1.18357503
1630684800000,1.18563604
1630699200000,1.18748105
1630713600000,1.18957496
1630728000000,1.19095004
1630742400000,1.19238901
1630756800000,1.19361901
1630771200000,1.19493794
1630785600000,1.19620502
1630800000000,1.19763196
1630814400000,1.198614
1630828800000,1.19933295
1630843200000,1.19987094
1630857600000,1.20067096
1630872000000,1.20133197
1630886400000,1.20214605
1630900800000,1.20253801
1630915200000,1.20358598
1630929600000,1.20458496
1630944000000,1.20580101
1630958400000,1.20706105
1630972800000,1.20844495
1630987200000,1.209571
1631001600000,1.21029603
1631016000000,1.20946097
1631030400000,1.20794201
1631044800000,1.20672202
1631059200000,1.20526004
1631073600000,1.20367503
1631088000000,1.20249295
1631102400000,1.20124495
1631116800000,1.19978201
1631131200000,1.19833398
1631145600000,1.19642997
1631160000000,1.19510901
1631174400000,1.193923
1631188800000,1.19262505
1631203200000,1.19121802
1631217600000,1.18952203
1631232000000,1.18847895
1631246400000,1.18764198
1631260800000,1.18688595
1631275200000,1.18622601
1631289600000,1.18549895
1631304000000,1.184466
1631318400000,1.18359601
1631332800000,1.18256295
1631347200000,1.18191803
1631361600000,1.181144
1631376000000,1.18053901
1631390400000,1.18010998
1631404800000,1.17981195
1631419200000,1.17975998
1631433600000,1.17997599
