ts_ms,horizontal_range,hr_start,hr_end,hor_upper,hor_lower,uptrend,uptrend_start,uptrend_end,downtrend,downtrend_start,downtrend_end,hr_uptrend,hr_downtrend,hr_start_marker,hr_end_marker,uptrend_start_marker,uptrend_end_marker,downtrend_start_marker,downtrend_end_marker,hr_breakout_attempt,hr_pending_breakout,hr_breakout_confirmed,hr_false_breakout,hr_reclaim,hr_break_direction,hr_break_extreme,hr_reclaim_marker
1617206400000,true,false,false,1.26694846,1.11944675,true,false,false,false,false,false,true,false,,,,,,,false,false,false,false,false,,,
1617220800000,true,false,false,1.26694846,1.11944675,true,false,false,false,false,false,true,false,,,,,,,false,false,false,false,false,,,
1617235200000,true,false,false,1.26694846,1.11944675,true,false,false,false,false,false,true,false,,,,,,,false,false,false,false,false,,,
1617249600000,true,false,false,1.26694846,1.11944675,true,false,false,false,false,false,true,false,,,,,,,false,false,false,false,false,,,
1617264000000,true,false,false,1.26694846,1.11944675,true,false,false,false,false,false,true,false,,,,,,,false,false,false,false,false,,,
1617278400000,true,false,false,1.26694846,1.11944675,true,false,false,false,false,false,true,false,,,,,,,false,false,false,false,false,,,
1617292800000,true,false,false,1.26694846,1.11944675,true,false,false,false,false,false,true,false,,,,,,,false,false,false,false,false,,,
1617307200000,true,false,false,1.26694846,1.11944675,true,false,false,false,false,false,true,false,,,,,,,false,false,false,false,false,,,
1617321600000,true,false,false,1.26694846,1.11944675,true,false,false,false,false,false,true,false,,,,,,,false,false,false,false,false,,,
1617336000000,true,false,false,1.26694846,1.11944675,true,false,true,true,true,false,true,true,,,,1.24699998,1.24699998,,false,false,false,false,false,,,
1617350400000,true,false,false,1.26694846,1.11944675,false,false,false,true,false,false,false,true,,,,,,,false,false,false,false,false,,,
1617364800000,true,false,false,1.26694846,1.11944675,false,false,false,true,false,false,false,true,,,,,,,false,false,false,false,false,,,
1617379200000,true,false,false,1.26694846,1.11944675,false,false,false,true,false,false,false,true,,,,,,,false,false,false,false,false,,,
1617393600000,true,false,false,1.26694846,1.11944675,false,false,false,true,false,false,false,true,,,,,,,false,false,false,false,false,,,
1617408000000,true,false,false,1.26694846,1.11944675,false,false,false,true,false,false,false,true,,,,,,,false,false,false,false,false,,,
1617422400000,true,false,false,1.26694846,1.11944675,false,false,false,true,false,false,false,true,,,,,,,false,false,false,false,false,,,
1617436800000,true,false,false,1.26694846,1.11944675,false,false,false,true,false,false,false,true,,,,,,,false,false,false,false,false,,,
1617451200000,true,false,false,1.26694846,1.11944675,false,false,false,true,false,false,false,true,,,,,,,false,false,false,false,false,,,
1617465600000,true,false,false,1.26694846,1.11944675,false,false,false,true,false,false,false,true,,,,,,,false,false,false,false,false,,,
1617480000000,true,false,false,1.26694846,1.11944675,false,false,false,true,false,false,false,true,,,,,,,false,false,false,false,false,,,
1617494400000,true,false,false,1.26694846,1.11944675,true,true,false,true,false,true,true,true,,,1.14859998,,,1.14859998,false,false,false,false,false,,,
1617508800000,true,false,false,1.26694846,1.11944675,true,false,false,false,false,false,true,false,,,,,,,false,false,false,false,false,,,
1617523200000,true,false,false,1.26694846,1.11944675,true,false,false,false,false,false,true,false,,,,,,,false,false,false,false,false,,,
1617537600000,true,false,false,1.26694846,1.11944675,true,false,false,false,false,false,true,false,,,,,,,false,false,false,false,false,,,
1617552000000,true,false,false,1.26694846,1.11944675,true,false,false,false,false,false,true,false,,,,,,,false,false,false,false,false,,,
1617566400000,true,false,false,1.26694846,1.11944675,true,false,false,false,false,false,true,false,,,,,,,false,false,false,false,false,,,
1617580800000,true,false,false,1.26694846,1.11944675,true,false,false,false,false,false,true,false,,,,,,,false,false,false,false,false,,,
1617595200000,true,false,false,1.26694846,1.11944675,true,false,false,false,false,false,true,false,,,,,,,false,false,false,false,false,,,
1617609600000,true,false,false,1.26694846,1.11944675,true,false,false,false,false,false,true,false,,,,,,,false,false,false,false,false,,,
1617624000000,true,false,false,1.26694846,1.11944675,true,false,false,false,false,false,true,false,,,,,,,false,false,false,false,false,,,
1617638400000,true,false,false,1.26694846,1.11944675,true,false,false,false,false,false,true,false,,,,,,,false,false,false,false,false,,,
1617652800000,true,false,false,1.26694846,1.11944675,true,false,false,false,false,false,true,false,,,,,,,false,false,false,false,false,,,
1617667200000,true,false,false,1.26694846,1.11944675,true,false,false,false,false,false,true,false,,,,,,,false,false,false,false,false,,,
1617681600000,true,false,false,1.26694846,1.11944675,true,false,false,false,false,false,true,false,,,,,,,false,false,false,false,false,,,
1617696000000,true,false,false,1.26694846,1.11944675,true,false,false,false,false,false,true,false,,,,,,,false,false,false,false,false,,,
1617710400000,false,false,false,,,true,false,false,false,false,false,false,false,,,,,,,true,true,false,false,false,1,1.34500003,
1617724800000,true,false,false,1.26694846,1.11944675,true,false,false,false,false,false,true,false,,,,,,,false,false,false,true,true,1,1.34500003,1.26129997
1617739200000,true,false,false,1.26694846,1.11944675,true,false,false,false,false,false,true,false,,,,,,,false,false,false,false,false,,,
1617753600000,false,false,false,,,true,false,false,false,false,false,false,false,,,,,,,true,true,false,false,false,1,1.27989995,
1617768000000,true,false,false,1.26694846,1.11944675,true,false,true,false,false,false,true,false,,,,1.29100001,,,false,false,false,true,true,1,1.29100001,1.24769998
1617782400000,true,false,false,1.26694846,1.11944675,true,true,false,false,false,false,true,false,,,1.15620005,,,,false,false,false,false,false,,,
1617796800000,true,false,false,1.26694846,1.11944675,true,false,false,false,false,false,true,false,,,,,,,false,false,false,false,false,,,
1617811200000,true,false,false,1.26694846,1.11944675,true,false,false,false,false,false,true,false,,,,,,,false,false,false,false,false,,,
