ts_ms,fast_vwap,slow_vwap,vwap_color
1662552000000,19416.5098,20321.2676,red
1662566400000,19382.7402,20291.0977,red
1662580800000,19368.5215,20261.1875,red
1662595200000,19363.4844,20250.2285,red
1662609600000,19352.6289,20232.1953,red
1662624000000,19348.3418,20217.4844,red
1662638400000,19329.623,20180.832,red
1662652800000,19325.002,20165.3105,red
1662667200000,19325.3691,20156.2402,red
1662681600000,19367.9434,20143.5312,red
1662696000000,19588.4199,20162.8887,red
1662710400000,19770.4316,20195.7324,red
1662724800000,19907.3516,20226.4434,red
1662739200000,20025.0664,20255.6582,red
1662753600000,20116.9375,20280.0645,red
1662768000000,20148.0137,20288.2578,red
1662782400000,20231.0352,20310.6016,red
1662796800000,20256.5918,20317.4863,red
1662811200000,20297.1074,20328.2266,red
1662825600000,20374.1289,20349.2246,green
1662840000000,20464.3672,20374.9277,green
1662854400000,20508.5156,20387.8887,green
1662868800000,20559.5625,20403.0469,green
1662883200000,20603.582,20416.0879,green
1662897600000,20664.5684,20434.541,green
1662912000000,20728.7734,20454.4961,green
1662926400000,20809.4629,20480.8145,green
1662940800000,21015.3574,20557.2324,green
1662955200000,21083.3496,20585.0215,green
1662969600000,21228.6797,20645.3438,green
1662984000000,21326.0371,20691.3672,green
1662998400000,21386.0234,20720.3574,green
1663012800000,21425.2012,20738.9023,green
1663027200000,21470.2969,20761.9805,green
1663041600000,21555.6973,20804.7383,green
1663056000000,21635.1191,20845.5176,green
1663070400000,21576.7812,20920.1465,green
1663084800000,21415.7148,20894.0996,green
1663099200000,21335.6016,20876.8105,green
1663113600000,21294.1367,20868.6367,green
1663128000000,21268.9727,20863.627,green
1663142400000,21226.7832,20855.2207,green
1663156800000,21157.9902,20841.0938,green
1663171200000,21035.2832,20811.2891,green
1663185600000,20995.3848,20801.8145,green
1663200000000,20957.7266,20792.6172,green
1663214400000,20900.8965,20778.8281,green
1663228800000,20871.7441,20771.5488,green
1663243200000,20730.8672,20732.1133,red
1663257600000,20689.627,20719.7188,red
1663272000000,20644.4629,20706.0938,red
1663286400000,20620.3848,20698.8848,red
1663300800000,20595.5137,20691.5293,red
1663315200000,20559.332,20680.8555,red
1663329600000,20479.0371,20656.6016,red
1663344000000,20398.3008,20630.9453,red
1663358400000,20378.0527,20623.8789,red
1663372800000,20354.1133,20614.7305,red
1663387200000,20342.8555,20610.5605,red
1663401600000,20332.2578,20606.7852,red
1663416000000,20315.0586,20600.3984,red
1663430400000,20294.0488,20590.8301,red
1663444800000,20285.957,20586.8047,red
1663459200000,20277.6562,20583.0898,red
1663473600000,20270.709,20579.959,red
1663488000000,20246.3125,20570.5684,red
1663502400000,20218.8809,20560.4707,red
1663516800000,20158.7988,20539.1641,red
1663531200000,20088.0117,20514.9238,red
1663545600000,19884.4102,20447.2695,red
1663560000000,19680.9707,20373.7852,red
1663574400000,19607.2656,20342.8965,red
1663588800000,19520.8848,20287.9902,red
1663603200000,19501.7949,20263.8379,red
1663617600000,19504.1895,20250.668,red
1663632000000,19497.3379,20237.4863,red
1663646400000,19489.4414,20220.9453,red
1663660800000,19475.9141,20206.2168,red
1663675200000,19427.1523,20167.8906,red
1663689600000,19379.3477,20131.2539,red
1663704000000,19361.334,20118.4668,red
1663718400000,19348.5215,20108.625,red
1663732800000,19327.9766,20093.1934,red
1663747200000,19310.9707,20076.4062,red
1663761600000,19303.3652,20051.5957,red
1663776000000,19266.6797,19946.6172,red
1663790400000,19183.3105,19890.5742,red
1663804800000,19155.5566,19869.668,red
1663819200000,19141.4961,19854.7988,red
1663833600000,19140.791,19839.9141,red
1663848000000,19131.3438,19818.3438,red
1663862400000,19134.6621,19804.3906,red
1663876800000,19144.2754,19798.084,red
1663891200000,19150.1953,19794.209,red
1663905600000,19154.5996,19789.9648,red
1663920000000,19143.0273,19774.6523,red
1663934400000,19104.6035,19744.7227,red
1663948800000,19080.6211,19725.8594,red
1663963200000,19086.1152,19714.0293,red
1663977600000,19088.4844,19707.9336,red
1663992000000,19086.4414,19702.0879,red
1664006400000,19084.916,19697.6621,red
1664020800000,19086.2812,19690.5059,red
1664035200000,19086.7598,19687.3672,red
1664049600000,19078.6641,19676.8105,red
1664064000000,19076.6895,19672.8496,red
1664078400000,19075.9023,19669.0234,red
1664092800000,19076.2871,19664.3984,red
1664107200000,19070.998,19655.8574,red
1664121600000,19062.6367,19645.0273,red
1664136000000,19036.3965,19627.1641,red
1664150400000,19022.5664,19615.1621,red
1664164800000,19008.666,19602.4902,red
1664179200000,19006.4746,19583,red
1664193600000,19013.3516,19568.9863,red
1664208000000,19022.4668,19561.5254,red
1664222400000,19029.3574,19557.502,red
1664236800000,19200.0918,19573.6953,red
1664251200000,19285.8281,19587.5918,red
1664265600000,19337.3594,19596.6504,red
1664280000000,19425.9121,19611.7949,red
1664294400000,19390.4238,19588.4785,red
1664308800000,19372.8438,19580.1973,red
1664323200000,19306.0098,19552.1133,red
1664337600000,19281.3066,19541.3965,red
1664352000000,19237.1191,19519.0898,red
1664366400000,19244.1719,19511.7715,red
1664380800000,19266.709,19510.7168,red
1664395200000,19281.5098,19510.9629,red
1664409600000,19289.7129,19510.1309,red
1664424000000,19297.0684,19508.2285,red
1664438400000,19305.1191,19506.7812,red
1664452800000,19286.9297,19490.7441,red
1664467200000,19296.0332,19487.25,red
1664481600000,19303.3164,19487.5996,red
1664496000000,19311.1875,19487.2324,red
1664510400000,19318.6543,19487.6172,red
1664524800000,19325.1016,19487.5664,red
1664539200000,19404.457,19501.5215,red
1664553600000,19421.9648,19504.2754,red
1664568000000,19420.2891,19502.2012,red
1664582400000,19420.0566,19501.6992,red
1664596800000,19417.6621,19500.4492,red
1664611200000,19412.8496,19498.4121,red
1664625600000,19410.3594,19497.1699,red
1664640000000,19406.3125,19495.5078,red
1664654400000,19403.7402,19494.457,red
