ts_ms,research_source__d1
1545148800000,-1.75280762
1545163200000,-0.34753418
1545177600000,0.978393555
1545192000000,1.97998047
1545206400000,4.20422363
1545220800000,3.4753418
1545235200000,1.06872559
1545249600000,0.293701172
1545264000000,0.347412109
1545278400000,16.932251
1545292800000,21.8575439
1545307200000,14.1206055
1545321600000,11.8536377
1545336000000,4.89160156
1545350400000,2.93432617
1545364800000,3.01147461
1545379200000,6.70263672
1545393600000,6.31982422
1545408000000,1.79980469
1545422400000,0.143676758
1545436800000,0.144897461
1545451200000,0.389526367
1545465600000,1.29248047
1545480000000,2.1730957
1545494400000,3.23937988
1545508800000,4.74572754
1545523200000,3.15161133
1545537600000,0.923217773
1545552000000,0.741333008
1545566400000,0.639526367
1545580800000,0.615844727
1545595200000,2.19604492
1545609600000,3.39318848
1545624000000,3.32409668
1545638400000,3.68078613
