ts_ms,research_source_1_ang_mtm_3
1739678400000,-1.0538038
1739692800000,-0.943004608
1739707200000,-2.28826404
1739721600000,-0.598965943
1739736000000,-3.85589218
1739750400000,-1.97298682
1739764800000,-2.9469707
1739779200000,0.00274276733
1739793600000,-1.62486017
1739808000000,-1.59024298
1739822400000,-0.29840979
1739836800000,2.82091784
1739851200000,0.808738708
1739865600000,0.306931823
1739880000000,-1.84713995
1739894400000,-2.97977448
1739908800000,1.72313559
1739923200000,2.19704056
1739937600000,5.64669418
1739952000000,2.35025144
1739966400000,0.750712097
1739980800000,1.56199396
1739995200000,0.585171998
1740009600000,3.04055142
1740024000000,1.70254898
1740038400000,1.32279718
1740052800000,-0.831311524
1740067200000,3.15046191
1740081600000,1.95189917
1740096000000,2.52020764
1740110400000,-0.858375549
1740124800000,0.493807465
1740139200000,-0.973072052
1740153600000,-7.77666998
1740168000000,-6.53223658
1740182400000,-4.23760366
1740196800000,2.50788879
1740211200000,0.989424407
1740225600000,0.728801727
1740240000000,0.75491333
1740254400000,-0.169275925
1740268800000,-0.55722934
1740283200000,-0.296738952
1740297600000,-1.23599494
1740312000000,-2.68837094
1740326400000,-1.77680206
1740340800000,1.11800516
1740355200000,0.692143738
1740369600000,0.876370728
1740384000000,-0.920089722
1740398400000,-2.07060361
1740412800000,-4.09444571
1740427200000,-7.16168165
1740441600000,-1.93433952
1740456000000,-3.85646176
1740470400000,-0.757467926
1740484800000,-3.90167737
1740499200000,0.391058594
1740513600000,2.0572319
1740528000000,3.80781865
1740542400000,1.95122397
1740556800000,0.218603775
1740571200000,-1.29203796
1740585600000,-3.56399655
1740600000000,-2.64707184
1740614400000,0.539819717
1740628800000,4.97160482
1740643200000,4.93074465
1740657600000,1.69436967
1740672000000,-1.49660242
1740686400000,-1.06631982
1740700800000,-2.8402977
1740715200000,-2.27049708
1740729600000,-1.35683
1740744000000,6.07837677
1740758400000,7.15021181
1740772800000,4.91472054
1740787200000,1.48697662
1740801600000,0.432360321
1740816000000,0.455588013
1740830400000,-0.461837769
1740844800000,1.0334574
1740859200000,1.908198
1740873600000,1.39788568
1740888000000,1.07034433
1740902400000,0.0597763062
1740916800000,2.23275495
1740931200000,6.93849707
1740945600000,7.59025192
1740960000000,3.47203708
1740974400000,-2.28729749
1740988800000,-2.42526507
1741003200000,-3.66348767
1741017600000,-7.27363348
1741032000000,-6.91001129
1741046400000,-5.05460978
1741060800000,-1.5249685
1741075200000,-1.31674576
1741089600000,-0.425828308
1741104000000,4.89553452
1741118400000,3.28116989
1741132800000,3.65853381
1741147200000,-0.467033386
1741161600000,2.02375793
1741176000000,1.00629556
1741190400000,1.43660736
1741204800000,0.333677918
1741219200000,2.41383362
1741233600000,1.0629921
1741248000000,0.430906922
1741262400000,-0.897127807
1741276800000,-3.06708407
1741291200000,-1.7608223
1741305600000,-3.88346362
1741320000000,-0.11724218
1741334400000,-0.872778594
1741348800000,1.36608255
1741363200000,-0.565012634
1741377600000,-2.0748775
1741392000000,-2.35657001
1741406400000,-1.40375388
1741420800000,-0.672331512
1741435200000,0.677188873
1741449600000,0.165729523
1741464000000,0.404890686
1741478400000,-0.28683725
1741492800000,-0.296193451
1741507200000,-1.54518509
1741521600000,-3.511163
1741536000000,-3.76184583
1741550400000,-4.04631424
1741564800000,0.419372559
1741579200000,1.30745447
1741593600000,4.94005585
1741608000000,-0.64440918
1741622400000,-1.7823143
1741636800000,-4.19075251
1741651200000,0.499903351
1741665600000,2.54251981
1741680000000,4.65278482
1741694400000,2.64227033
1741708800000,3.72890353
1741723200000,1.70531464
1741737600000,1.27991736
1741752000000,-0.752850831
1741766400000,0.273118347
1741780800000,-0.383562714
1741795200000,0.857673645
1741809600000,0.984994233
1741824000000,2.46885562
1741838400000,0.210619614
1741852800000,-1.03934348
1741867200000,-3.43561053
1741881600000,-3.7829628
1741896000000,-1.96596777
1741910400000,1.76120508
1741924800000,3.13718152
1741939200000,3.21243024
1741953600000,3.80580139
1741968000000,3.12603259
1741982400000,0.586914062
1741996800000,-0.546966553
1742011200000,-1.38584387
1742025600000,-0.0422312431
1742040000000,-0.373105377
1742054400000,0.635026276
1742068800000,0.362541199
1742083200000,-0.039019268
1742097600000,-0.08901342
1742112000000,-4.01261139
1742126400000,-2.1051178
1742140800000,-2.36390185
1742155200000,0.461812347
1742169600000,0.829048157
1742184000000,0.940010071
1742198400000,1.87785339
1742212800000,-0.315139771
1742227200000,1.93450415
1742241600000,0.846182525
1742256000000,-1.04096222
1742270400000,-2.94353747
1742284800000,-3.02587509
1742299200000,-2.95360684
1742313600000,-1.27315521
1742328000000,0.893845856
1742342400000,3.42367554
1742356800000,2.07012296
1742371200000,2.63708878
1742385600000,3.55383801
1742400000000,4.36778116
1742414400000,4.78583765
1742428800000,0.759187043
1742443200000,-0.660521209
1742457600000,-3.43582797
1742472000000,-2.90970993
1742486400000,-3.82029724
1742500800000,-2.88581586
1742515200000,-0.551317871
1742529600000,-0.582337677
1742544000000,-0.387293488
