ts_ms,close_research_slow_delta
1659182400000,1171.32617
1659196800000,513.736328
1659211200000,217.283203
1659225600000,302.972656
1659240000000,267.117188
1659254400000,339.935547
1659268800000,309.001953
1659283200000,329.257812
1659297600000,-207.826172
1659312000000,-130.490234
1659326400000,-171.302734
1659340800000,-255.023438
1659355200000,-133.197266
1659369600000,-471.382812
1659384000000,-152.445312
1659398400000,-530.037109
1659412800000,-464.333984
1659427200000,-445.962891
1659441600000,-306.554688
1659456000000,-325.255859
1659470400000,-276.097656
1659484800000,-374.259766
1659499200000,-235.5625
1659513600000,185.943359
1659528000000,113.947266
1659542400000,205.527344
1659556800000,-414.845703
1659571200000,-132.148438
1659585600000,-261.640625
1659600000000,-304.824219
1659614400000,-238.730469
1659628800000,-643.669922
1659643200000,-455.378906
1659657600000,104.21875
1659672000000,107.058594
1659686400000,314.630859
1659700800000,-108.169922
1659715200000,-150.871094
1659729600000,221.523438
1659744000000,76.6074219
1659758400000,102.482422
1659772800000,60.5683594
1659787200000,109.957031
1659801600000,90.9179688
1659816000000,-141.712891
1659830400000,-96.21875
1659844800000,-76.1855469
1659859200000,-46.9570312
1659873600000,-68.484375
1659888000000,62.1367188
1659902400000,75.0664062
1659916800000,198.048828
1659931200000,642.619141
1659945600000,869.814453
1659960000000,590.015625
1659974400000,488.007812
1659988800000,339.341797
1660003200000,337.677734
1660017600000,362.154297
1660032000000,-237.316406
1660046400000,-361.75
1660060800000,-342.800781
1660075200000,-253.509766
1660089600000,-469.783203
1660104000000,-348.859375
1660118400000,-179.523438
1660132800000,585.126953
1660147200000,185.300781
1660161600000,458.65625
1660176000000,753.808594
1660190400000,784.943359
1660204800000,867.605469
1660219200000,533.880859
1660233600000,381.625
1660248000000,78.7421875
1660262400000,148.890625
1660276800000,91.65625
1660291200000,-201.265625
1660305600000,112.960938
1660320000000,297.658203
1660334400000,485.638672
1660348800000,834.242188
1660363200000,557.615234
1660377600000,390.9375
1660392000000,443.914062
1660406400000,315.257812
1660420800000,331.984375
1660435200000,456.396484
1660449600000,707.423828
1660464000000,351.880859
1660478400000,298.720703
1660492800000,56.9902344
1660507200000,73.8144531
1660521600000,550.601562
1660536000000,-295.451172
1660550400000,-253.564453
1660564800000,-59.9433594
1660579200000,-297.865234
1660593600000,-164.583984
1660608000000,-148.638672
1660622400000,-151.380859
1660636800000,-189.681641
1660651200000,-277.328125
1660665600000,-217.189453
1660680000000,-287.880859
1660694400000,-136.974609
1660708800000,-331.720703
1660723200000,-359.179688
1660737600000,-615.669922
1660752000000,-680.732422
1660766400000,-583.230469
1660780800000,-470.910156
1660795200000,-486.234375
1660809600000,-339.494141
1660824000000,-392.996094
1660838400000,-468.822266
1660852800000,-583.320312
1660867200000,-902.78125
1660881600000,-1361.93555
1660896000000,-1520.00781
1660910400000,-1417.82227
1660924800000,-1426.62305
1660939200000,-1662.47656
1660953600000,-1241.83789
1660968000000,-1025.48633
1660982400000,-1057.29688
1660996800000,-950.261719
1661011200000,-1179.40625
1661025600000,-937.548828
1661040000000,-831.505859
1661054400000,-757.630859
1661068800000,-438.921875
1661083200000,-513.865234
1661097600000,-409.988281
1661112000000,-352.433594
1661126400000,-436.472656
1661140800000,-712.976562
1661155200000,-493.460938
1661169600000,-304.402344
1661184000000,-606.927734
1661198400000,-246.517578
1661212800000,-389.216797
1661227200000,-279.376953
1661241600000,-121.103516
1661256000000,-92.7558594
1661270400000,-45.0566406
1661284800000,-37.5214844
1661299200000,-283.644531
1661313600000,-220.919922
1661328000000,-78.9375
1661342400000,92.0839844
1661356800000,161.386719
1661371200000,-177.203125
1661385600000,-72.5859375
1661400000000,194.5625
1661414400000,176.515625
1661428800000,12.0234375
1661443200000,48.453125
1661457600000,7.49804688
1661472000000,2.21289062
1661486400000,-92.7480469
