ts_ms,research_source_1_ang_pct_span_10
1660118400000,1.40537536
1660132800000,1.27939832
1660147200000,1.38444746
1660161600000,1.75299335
1660176000000,2.27767515
1660190400000,2.72355342
1660204800000,3.26771021
1660219200000,4.04316807
1660233600000,4.90168667
1660248000000,5.71592808
1660262400000,6.20336103
1660276800000,6.54734325
1660291200000,6.62971306
1660305600000,6.65931368
1660320000000,6.8506403
1660334400000,6.94060946
1660348800000,7.02267456
1660363200000,6.94776964
1660377600000,6.51973295
1660392000000,6.07754135
1660406400000,5.54707193
1660420800000,5.27116585
1660435200000,5.09979057
1660449600000,4.67633724
1660464000000,4.15202856
1660478400000,3.49196744
1660492800000,2.81438589
1660507200000,2.439044
1660521600000,2.31548452
1660536000000,2.01401401
1660550400000,1.59710479
1660564800000,1.22128797
1660579200000,0.944330037
1660593600000,0.822001517
1660608000000,0.672693849
1660622400000,0.132150158
1660636800000,-0.225340724
1660651200000,-0.714649081
1660665600000,-0.970259726
1660680000000,-1.24785972
1660694400000,-1.39663804
1660708800000,-1.71452701
1660723200000,-2.07272768
1660737600000,-2.18600059
1660752000000,-1.77478719
1660766400000,-1.51481605
1660780800000,-1.33750999
1660795200000,-1.17694318
1660809600000,-0.863594115
1660824000000,-0.839972258
1660838400000,-0.500746608
1660852800000,-0.23605907
1660867200000,-0.314205557
1660881600000,-0.713458061
1660896000000,-1.26204002
1660910400000,-1.79357493
1660924800000,-2.17062163
1660939200000,-2.81655025
1660953600000,-3.33855462
1660968000000,-3.97080874
1660982400000,-4.55541468
1660996800000,-4.85382843
1661011200000,-4.98904276
1661025600000,-5.01043129
1661040000000,-4.96448421
1661054400000,-4.93413639
1661068800000,-4.72187567
1661083200000,-4.63445711
1661097600000,-4.65355968
1661112000000,-4.56947803
1661126400000,-4.77534008
1661140800000,-4.76463842
1661155200000,-4.76221848
1661169600000,-4.87554216
1661184000000,-5.12436867
1661198400000,-5.28256941
1661212800000,-5.41449976
1661227200000,-5.51463079
1661241600000,-5.58222437
1661256000000,-5.38997459
1661270400000,-5.24781418
1661284800000,-5.08976364
1661299200000,-4.98346472
1661313600000,-4.86842251
1661328000000,-4.85873938
1661342400000,-4.71004868
1661356800000,-4.48698092
1661371200000,-4.46338654
1661385600000,-4.61040974
1661400000000,-4.71748543
1661414400000,-4.85048676
1661428800000,-4.86861658
1661443200000,-4.80703115
1661457600000,-4.78677225
1661472000000,-4.69818401
1661486400000,-4.52923203
1661500800000,-4.19190025
1661515200000,-4.0182457
1661529600000,-3.82621765
1661544000000,-3.67573094
1661558400000,-3.58983207
1661572800000,-3.81159592
1661587200000,-3.98113585
1661601600000,-4.43722153
1661616000000,-5.00252295
1661630400000,-5.58622599
1661644800000,-5.92916536
1661659200000,-6.33739901
1661673600000,-6.72510719
1661688000000,-7.04046774
1661702400000,-7.09368563
1661716800000,-7.36444235
1661731200000,-7.39674234
1661745600000,-7.49703121
1661760000000,-7.66194105
1661774400000,-7.76443577
1661788800000,-7.92437124
1661803200000,-7.96410084
1661817600000,-8.03736115
1661832000000,-8.13479137
1661846400000,-8.02741337
1661860800000,-8.13676929
1661875200000,-8.25767517
1661889600000,-8.36536312
1661904000000,-8.41088867
1661918400000,-8.41098118
1661932800000,-8.4415493
1661947200000,-8.44441605
1661961600000,-8.52330399
1661976000000,-8.44929981
1661990400000,-8.28952312
1662004800000,-8.10672283
1662019200000,-7.86814928
1662033600000,-7.8549428
1662048000000,-7.67976093
1662062400000,-7.54083157
1662076800000,-7.48467255
1662091200000,-7.29886198
1662105600000,-7.37640524
1662120000000,-7.41477633
1662134400000,-7.66226435
1662148800000,-7.67769051
1662163200000,-7.63466978
1662177600000,-7.70200586
1662192000000,-7.86745501
1662206400000,-7.9633646
1662220800000,-8.03845406
1662235200000,-8.03999519
1662249600000,-8.0945282
1662264000000,-7.88330746
1662278400000,-7.90484762
1662292800000,-7.75801563
1662307200000,-7.49732399
1662321600000,-6.85726118
1662336000000,-6.0837512
1662350400000,-5.43937445
1662364800000,-4.90978003
1662379200000,-4.12107182
1662393600000,-3.42268753
1662408000000,-2.71361065
1662422400000,-2.09228516
1662436800000,-1.66575837
1662451200000,-1.40843678
1662465600000,-1.30627966
1662480000000,-1.37496006
1662494400000,-1.4857899
1662508800000,-1.87540138
1662523200000,-2.11333847
1662537600000,-2.34937525
1662552000000,-2.59293556
1662566400000,-2.51757646
1662580800000,-2.49667716
1662595200000,-2.51395702
1662609600000,-2.37436771
1662624000000,-1.99552619
1662638400000,-1.69243968
1662652800000,-1.18262613
1662667200000,-0.748233438
1662681600000,-0.290313065
1662696000000,-0.0974084511
1662710400000,-0.015256851
1662724800000,0.0535182804
1662739200000,0.414608955
1662753600000,0.766203821
1662768000000,1.17352712
1662782400000,1.23640954
1662796800000,1.30318117
1662811200000,1.42523623
1662825600000,1.52425182
1662840000000,1.61182976
1662854400000,1.75112057
1662868800000,1.7104274
1662883200000,1.52267611
1662897600000,1.43831086
1662912000000,1.44373024
1662926400000,1.45111716
1662940800000,1.18005407
1662955200000,1.19111025
1662969600000,1.27639711
1662984000000,1.3903904
1662998400000,1.57070816
1663012800000,1.89957464
1663027200000,2.0816741
1663041600000,2.36437273
1663056000000,2.67166495
1663070400000,2.83721876
1663084800000,2.65578461
1663099200000,2.34147835
1663113600000,2.09000969
1663128000000,1.73773682
1663142400000,1.29825258
1663156800000,1.26355171
1663171200000,1.1678623
1663185600000,1.11974156
1663200000000,1.27491248
1663214400000,1.46418321
1663228800000,1.61762142
1663243200000,1.45854926
1663257600000,1.42248023
1663272000000,1.30317271
1663286400000,0.961877406
1663300800000,0.670033157
1663315200000,0.378327608
1663329600000,0.287400275
1663344000000,0.219243273
1663358400000,0.56505543
1663372800000,1.0905714
1663387200000,1.49677706
1663401600000,2.04857922
1663416000000,2.93392515
1663430400000,3.8060596
1663444800000,4.67429256
1663459200000,5.30714989
1663473600000,6.3230629
1663488000000,6.75082922
1663502400000,7.27859735
1663516800000,8.08533096
1663531200000,8.12788582
1663545600000,7.61529875
1663560000000,7.06278276
1663574400000,6.55841875
1663588800000,6.21904707
1663603200000,6.16684341
1663617600000,6.32068062
1663632000000,6.2344017
1663646400000,5.92067671
1663660800000,6.4109621
1663675200000,7.76143694
1663689600000,8.85998535
1663704000000,9.96221161
1663718400000,10.8424444
1663732800000,11.0182161
1663747200000,11.3210402
1663761600000,11.6334114
1663776000000,12.1122303
1663790400000,12.3528843
1663804800000,12.1077194
1663819200000,12.339921
1663833600000,12.6210985
1663848000000,13.0741625
1663862400000,14.3679495
1663876800000,15.6541767
1663891200000,17.9530849
1663905600000,19.6536598
1663920000000,21.1630592
1663934400000,22.5263634
1663948800000,23.3657722
1663963200000,24.5559025
1663977600000,25.6325245
1663992000000,25.8081684
1664006400000,25.8308659
1664020800000,24.8298969
1664035200000,24.4569321
1664049600000,24.2403622
1664064000000,23.9273701
1664078400000,23.9068661
1664092800000,23.385046
1664107200000,23.0862865
1664121600000,22.8457928
1664136000000,22.4960785
1664150400000,22.2706776
1664164800000,21.6111431
1664179200000,20.8651638
