ts_ms,bb_middle,bb_upper_band,bb_lower_band
1608076800000,19294.7852,19562.8203,19026.752
1608091200000,19313.3223,19582.2383,19044.4043
1608105600000,19349.0723,19703.9746,18994.168
1608120000000,19458.8926,20223.6191,18694.166
1608134400000,19577.9277,20572.8418,18583.0156
1608148800000,19734.2148,21072.5703,18395.8594
1608163200000,19921.4277,21587.1758,18255.6816
1608177600000,20151.8223,22233.9258,18069.7168
1608192000000,20386.1074,22828.6172,17943.5957
1608206400000,20684.4277,23463.123,17905.7344
1608220800000,20942.3223,23831.4473,18053.1953
1608235200000,21186.1074,24094.6699,18277.543
1608249600000,21420.4648,24292.9375,18547.9922
1608264000000,21682.5,24450.4512,18914.5488
1608278400000,21934.0352,24443.4551,19424.6152
1608292800000,22158.1074,24263.3125,20052.9023
1608307200000,22373.1777,24024.4082,20721.9492
1608321600000,22547.8574,23950.7402,21144.9746
1608336000000,22717.5352,23747.7734,21687.2969
1608350400000,22824.0723,23545.8711,22102.2715
1608364800000,22904.7852,23346.6895,22462.8828
1608379200000,22984.4648,23499.0879,22469.8398
1608393600000,23061.75,23731.3789,22392.1211
1608408000000,23098.3223,23876.0859,22320.5566
1608422400000,23131.9648,23917.0234,22346.9043
1608436800000,23191.2148,24000.5508,22381.8789
1608451200000,23245.6426,24053.6523,22437.6328
1608465600000,23303.5,24176.207,22430.793
1608480000000,23381.2148,24286.3184,22476.1094
1608494400000,23445.9648,24232.7871,22659.1406
1608508800000,23530.8926,24266.8848,22794.9004
1608523200000,23591.7148,24329.3398,22854.0879
1608537600000,23555.7852,24414.541,22697.0312
1608552000000,23572.3926,24386.2422,22758.5449
1608566400000,23565.6074,24402.2012,22729.0137
1608580800000,23502.6074,24442.3652,22562.8477
1608595200000,23430.0352,24404.1699,22455.9023
1608609600000,23343.8574,24359.2949,22328.418
1608624000000,23326.4648,24346.2715,22306.6562
1608638400000,23305.7852,24309.4785,22302.0938
1608652800000,23293.2852,24286.5879,22299.9824
1608667200000,23286.8926,24265.1602,22308.627
1608681600000,23266.6074,24197.2441,22335.9707
1608696000000,23273.7148,24212.2617,22335.166
1608710400000,23210.8223,24069.1523,22352.4902
1608724800000,23173.8223,23933.2227,22414.4199
1608739200000,23239,23963.0195,22514.9805
1608753600000,23248.1777,23968.9277,22527.4297
1608768000000,23251.7148,23964.666,22538.7617
1608782400000,23283.6426,23937.8008,22629.4844
1608796800000,23311.1074,23920.0156,22702.1992
1608811200000,23353.6777,23848.4453,22858.9121
1608825600000,23365.5,23847.9434,22883.0566
1608840000000,23391.8574,23911,22872.7148
1608854400000,23396.8926,23918.373,22875.4141
1608868800000,23385.6777,23875.6504,22895.7051
1608883200000,23450.75,24238.9629,22662.5371
1608897600000,23482.4277,24322.7969,22642.0605
1608912000000,23580.3926,24527.248,22633.5371
1608926400000,23669.5,24780.166,22558.834
1608940800000,23767.5,25051.5195,22483.4805
1608955200000,23878.1777,25227.8926,22528.4648
1608969600000,24019.8574,25336.5137,22703.2012
1608984000000,24195.5352,25662.9082,22728.1641
1608998400000,24389.9648,26007.4648,22772.4629
1609012800000,24623.1426,26449.8145,22796.4707
1609027200000,24856.3223,26786.0469,22926.5957
1609041600000,25133.0352,27419.6855,22846.3848
1609056000000,25427.2148,27848.3984,23006.0293
1609070400000,25690.75,28091.7227,23289.7773
1609084800000,25868.1074,28289.1094,23447.1055
1609099200000,26025.6074,28222.6445,23828.5703
1609113600000,26224.8574,28321.4785,24128.2363
1609128000000,26385.9648,28337.3477,24434.582
1609142400000,26524.5352,28312.4941,24736.5781
1609156800000,26676.8926,28191.2773,25162.5078
1609171200000,26829.1777,27964.7188,25693.6387
1609185600000,26927.5723,27851.5137,26003.6309
1609200000000,26961.8574,27766.2656,26157.4492
1609214400000,26954.0352,27777.1934,26130.8789
1609228800000,26974.3926,27773.2305,26175.5547
1609243200000,26902.1074,27637.9219,26166.293
1609257600000,26854.5352,27479.25,26229.8203
1609272000000,26856.5352,27487.8223,26225.248
1609286400000,26928.75,27825.4082,26032.0918
1609300800000,27084.7148,28177.9551,25991.4727
1609315200000,27126.3574,28284.0488,25968.666
1609329600000,27209.9277,28476.25,25943.6074
1609344000000,27346.8926,28833.8262,25859.9609
1609358400000,27487.3223,29149.7227,25824.9219
1609372800000,27633.25,29448.7871,25817.7129
1609387200000,27789.75,29737.5293,25841.9707
1609401600000,27967.6777,29840.3008,26095.0566
1609416000000,28137.8926,29840.7383,26435.0469
1609430400000,28283.8926,29871.5938,26696.1914
1609444800000,28452.1426,29765.7715,27138.5137
1609459200000,28623.7852,29712.2012,27535.3691
1609473600000,28750.3926,29624.4473,27876.3379
